egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
60396,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Always,Frequently
61084,,,,,,,,
92412,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
92038,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Occasionally
33388,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Three times a week or more,Frequently,Occasionally
31717,,,,,,,,
86440,1-2 times a month,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
95585,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Occasionally
29792,Not at all,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
14737,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Occasionally
28223,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Frequently
55452,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Never,
20179,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
23696,,,,,,,,
28653,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Occasionally
84715,,,,,,,,
95559,Not at all,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month,1-2 times a week,Always,Frequently
30152,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Never,
68764,,,,,,,,
60367,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,,
36939,,,,,,,,
59592,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
22897,,,,,,,,
89652,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
28724,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
92895,,,,,,,,
69831,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
59178,,,,,,,,
50072,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month,1-2 times a week,Always,Frequently
44927,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
71894,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Never
76790,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more,,
66676,,,,,,,,
95930,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
70962,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Always
12738,,,,,,,,
27111,,,,,,,,
30453,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
80177,,,,,,,,
18677,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Frequently,Always
66047,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Always,Frequently
58682,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
79834,1-2 times a month,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Frequently,Occasionally
93471,,,,,,,,
19538,,,,,,,,
38052,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Frequently
33133,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Never,
40021,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
27141,,,,,,,,
93858,,,,,,,,
47810,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
58196,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Never,
42773,,,,,,,,
76663,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,
48224,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
30137,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Frequently
68318,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Never
62246,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
61028,,,,,,,,
55424,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
17581,,,,,,,,
23576,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
17522,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month,Frequently,Frequently
97833,,,,,,,,
93485,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
62617,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Always
42137,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Frequently
37305,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a month,Frequently,Occasionally
48013,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
44447,,,,,,,,
14571,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Always
69057,Less than 1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Three times a week or more,Occasionally,Frequently
66629,,,,,,,,
83542,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Frequently
18222,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Occasionally,Always
39738,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Always,Frequently
26858,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
93504,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Frequently
64232,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
37404,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
25961,,,,,,,,
87330,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Never
92028,,,,,,,,
82248,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
28824,,,,,,,,
11482,,,,,,,,
69936,,,,,,,,
37001,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more,Frequently,Frequently
70492,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Occasionally,Never
95543,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Always
21380,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
67106,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Frequently
25495,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Occasionally
26581,,,,,,,,
66642,,,,,,,,
83612,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Always
63954,,,,,,,,
20665,,,,,,,,
19122,1-2 times a month,1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,1-2 times a month,Occasionally,Frequently
99978,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
92566,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Frequently
39414,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
35987,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
66655,,,,,,,,
10547,,,,,,,,
46373,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more,Never,
79341,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Never
19591,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
83536,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
66682,,,,,,,,
88337,,,,,,,,
67608,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
19735,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a week,Occasionally,Always
42513,,,,,,,,
51952,,,,,,,,
46266,,,,,,,,
61289,,,,,,,,
18743,,,,,,,,
59207,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Occasionally,Occasionally
48946,,,,,,,,
86083,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
96613,,,,,,,,
49014,,,,,,,,
50766,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Frequently
71089,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
80980,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
29115,,,,,,,,
98462,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Frequently
94455,,,,,,,,
11148,,,,,,,,
88384,,,,,,,,
64302,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Occasionally
22688,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
38815,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
34525,,,,,,,,
68404,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
71836,,,,,,,,
12748,,,,,,,,
33445,,,,,,,,
83078,,,,,,,,
72160,,,,,,,,
55569,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week,Always,Frequently
72885,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Occasionally,Never
36574,1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a month,Frequently,Always
71193,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Occasionally
44070,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Frequently,Occasionally
49010,,,,,,,,
98760,,,,,,,,
95374,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always,Frequently
71985,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Always
43125,Not at all,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,1-2 times a month,Occasionally,Never
98117,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Never,
22989,1-2 times a month,Three times a week or more,1-2 times a month,Not at all,Not at all,1-2 times a month,Always,Frequently
24883,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
20650,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Not at all,Always,Frequently
19460,,,,,,,,
66815,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Never,
89161,,,,,,,,
54956,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
14847,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a month,Not at all,1-2 times a week,Always,Frequently
85453,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Not at all,Never,
19827,,,,,,,,
31121,,,,,,,,
38683,,,,,,,,
82918,,,,,,,,
43382,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
44344,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month,Occasionally,Frequently
94215,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Never
80675,,,,,,,,
57144,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Never
94662,,,,,,,,
98700,,,,,,,,
33341,,,,,,,,
65072,1-2 times a month,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a month,Frequently,Frequently
37148,,,,,,,,
11910,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month,Frequently,Always
75438,Not at all,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more,Occasionally,Always
99733,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Never,
27407,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Never,
14250,,,,,,,,
43794,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,Frequently,Frequently
73918,,,,,,,,
60216,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
28681,,,,,,,,
51437,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Never
21932,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all,Never,
29733,,,,,,,,
98206,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Always
36385,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
54030,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Occasionally
67993,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
96543,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Always
49800,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
29296,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
11002,,,,,,,,
72850,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
15134,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
69124,,,,,,,,
34062,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
18111,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a week,Occasionally,Frequently
42646,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
63922,,,,,,,,
59097,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Frequently
72912,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month,Frequently,Frequently
91484,,,,,,,,
24833,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Always
21971,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
13928,,,,,,,,
84502,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Always,Frequently
64090,,,,,,,,
52123,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Never
78783,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Always,Frequently
25197,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Frequently,Never
35872,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Always,Frequently
23270,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Always
69807,,,,,,,,
92716,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Occasionally
66061,,,,,,,,
56058,,,,,,,,
57854,,,,,,,,
68679,Three times a week or more,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,Three times a week or more,Always,Never
90750,,,,,,,,
70125,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week,Frequently,Always
67192,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Not at all,Occasionally,Never
12029,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Occasionally
70745,Not at all,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month,Frequently,Never
93856,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Always
10237,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
97448,Not at all,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week,Frequently,Frequently
89165,,,,,,,,
97280,,,,,,,,
54098,Not at all,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a month,Frequently,Occasionally
66156,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Always
67177,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Frequently,Always
22540,,,,,,,,
15586,,,,,,,,
18611,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Always,Always
87328,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Never
88963,,,,,,,,
57045,,,,,,,,
49497,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,1-2 times a month,Three times a week or more,Always,Always
15031,,,,,,,,
79607,,,,,,,,
41952,,,,,,,,
17183,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month,Always,Frequently
22408,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Occasionally,Frequently
54435,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Occasionally
38554,,,,,,,,
